index,docId,category,charCount,wordCount,url
27,451739,cambodia,1927,164,http://km.rfi.fr/cambodia/sam-rainsy-case-multiply-again-18-10-2019
28,451738,entertainment,1424,101,https://www.dap-news.com/archives/96645
29,451737,entertainment,835,36,http://news.todaysharing.com/entertainment/6161/
30,451736,cambodia,1600,103,http://kampucheathmey.com/2016/archives/1113724
31,451724,technology,2686,275,https://www.angkorpost.net/post/9630
32,451723,cambodia,599,31,https://tvfb.news/article/27806
33,451722,sports,608,79,http://news.sabay.com.kh/article/1170423
34,451712,cambodia,908,61,http://pressnews.today/post/124495
35,451711,cambodia,1278,100,http://pressnews.today/post/124499
36,451694,entertainment,812,67,https://khmernote.tv/news/61252
37,451691,entertainment,901,46,https://khmernote.tv/news/61265
38,451690,cambodia,433,18,https://thmeythmey.com/?page=detail&id=84041
39,451689,entertainment,1013,83,https://www.popular.com.kh/entertainment/142199.html/
40,451688,cambodia,725,38,https://wmc.org.kh/បទសម្ភាស៖-អ្នកវិភាគថា-ដំ/
41,451686,cambodia,1067,71,http://www.freshnewsasia.com/index.php/en/localnews/137044-2019-10-18-11-57-02.html
42,451685,cambodia,2185,114,http://www.freshnewsasia.com/index.php/en/localnews/137045-2019-10-18-11-59-14.html
43,451684,cambodia,2012,109,http://www.freshnewsasia.com/index.php/en/localnews/137046-2019-10-18-12-01-03.html
44,451682,cambodia,751,60,https://www.dap-news.com/archives/96639
45,451681,entertainment,690,25,http://news.todaysharing.com/entertainment/6153/
46,451673,cambodia,1381,84,https://tvfb.news/article/27803
47,451668,cambodia,405,30,https://tvfb.news/article/27804
48,451665,life,854,59,http://news.sabay.com.kh/article/1170396
49,451658,cambodia,1286,88,http://pressnews.today/post/124491
50,451654,cambodia,3526,308,http://www.freshnewsasia.com/index.php/en/localnews/137043-2019-10-18-11-13-51.html
51,451652,world,2247,75,http://km.rfi.fr/europe/20191018-ក្រុមអ្នកវិទ្យាសាស្រ្តព្រមានពីកំណើនវិបត្តិស្បៀងអាហារកាន់តែច្រើននៅក្នុងពិភពលោក
52,451651,cambodia,1998,91,https://www.rfa.org/khmer/news/social-economy/svayrieng-police-arrested-2-chineses-10182019071854.html
53,451649,world,2339,97,http://km.rfi.fr/europe/20191018-សង្រ្គាមពាណិជ្ជកម្ម៖ពន្ធថ្មីលើទំនិញអឺរ៉ុបនាំចូលអាមេរិកចូលជាធរមាន
54,451648,cambodia,2568,151,https://www.rfa.org/khmer/news/social-economy/Cyprus-citizenship-and-passport-10182019072803.html
55,451647,entertainment,1052,33,http://news.todaysharing.com/entertainment/6148/
56,451646,cambodia,1592,91,https://thmeythmey.com/?page=detail&id=84077
57,451644,cambodia,757,42,https://tvfb.news/article/27801
58,451639,cambodia,1929,134,https://tvfb.news/article/27802
59,451638,technology,2150,208,http://news.sabay.com.kh/article/1170420
60,451637,sports,641,71,http://news.sabay.com.kh/article/1170417
61,451608,entertainment,1834,110,http://www.khmertalking.com/kt-lifestyle/105790
62,451607,entertainment,898,49,https://www.popular.com.kh/entertainment/142242.html/
63,451606,entertainment,528,31,https://www.popular.com.kh/entertainment/142159.html/
64,451604,technology,760,93,https://www.popular.com.kh/technology/142128.html/
65,451603,cambodia,1340,119,http://www.freshnewsasia.com/index.php/en/localnews/137034-2019-10-18-10-28-26.html
66,451602,cambodia,2564,139,http://www.freshnewsasia.com/index.php/en/localnews/137036-2019-10-18-10-43-57.html
67,451601,cambodia,14944,902,http://www.freshnewsasia.com/index.php/en/localnews/137037-2019-10-18-10-44-59.html
68,451600,cambodia,2254,155,http://www.freshnewsasia.com/index.php/en/localnews/137038-2019-10-18-10-47-07.html
69,451599,cambodia,2109,132,http://www.freshnewsasia.com/index.php/en/localnews/137039-2019-10-18-10-49-39.html
70,451598,cambodia,2693,147,http://www.freshnewsasia.com/index.php/en/localnews/137041-2019-10-18-10-53-30.html
71,451597,cambodia,1955,119,http://www.freshnewsasia.com/index.php/en/localnews/137042-2019-10-18-11-04-25.html
72,451594,life,915,56,http://kanha.sabay.com.kh/article/1170393
73,451593,world,1198,46,http://www.freshnewsasia.com/index.php/en/internationalnews/137040-2019-10-18-10-49-50.html
74,451592,cambodia,2024,190,http://kampucheathmey.com/2016/archives/1113698
75,451591,cambodia,1584,94,http://kampucheathmey.com/2016/archives/1113684
76,451590,knowledge,2141,110,https://kohsantepheapdaily.com.kh/article/948753.html
77,451589,knowledge,1724,138,https://kohsantepheapdaily.com.kh/article/948810.html
78,451587,knowledge,1554,43,https://kohsantepheapdaily.com.kh/article/948836.html
79,451585,cambodia,1856,63,http://peoplenews.asia/83673/
80,451584,cambodia,7508,295,https://www.rfa.org/khmer/news/politics/ngo-concern-over-beaten-cnrp-10182019065834.html
81,451583,cambodia,2300,129,http://cambodiapolice.com/policekh/185037
82,451582,cambodia,5334,215,https://www.rfa.org/khmer/news/politics/cnrp-activist-184th-accused-10182019061937.html
83,451581,world,2039,105,https://kbn.news/archives/138355
84,451580,cambodia,437,30,https://thmeythmey.com/?page=detail&id=84073
85,451579,sports,1357,99,https://kohsantepheapdaily.com.kh/article/948769.html
86,451577,sports,912,61,https://kohsantepheapdaily.com.kh/article/948788.html
87,451575,entertainment,800,21,http://news.todaysharing.com/entertainment/6142/
88,451566,sports,566,41,https://tvfb.news/article/27800
89,451565,cambodia,535,26,https://tvfb.news/article/27798
90,451564,cambodia,1447,72,https://tvfb.news/article/27799
91,451550,cambodia,923,77,http://pressnews.today/post/124488
92,451545,cambodia,3512,118,http://www.lareine.com.kh/news/education/56900/
93,451543,life,455,12,http://www.lareine.com.kh/news/lifestyle/56892/
94,451537,cambodia,2660,268,http://peoplenews.asia/83653/
95,451536,cambodia,3342,121,http://peoplenews.asia/83665/
96,451535,technology,2698,266,https://www.popular.com.kh/technology/142171.html/
97,451534,cambodia,849,65,http://www.freshnewsasia.com/index.php/en/localnews/137019-2019-10-18-09-48-52.html
98,451533,cambodia,1610,93,http://www.freshnewsasia.com/index.php/en/localnews/137020-2019-10-18-09-48-54.html
99,451532,cambodia,2427,148,http://www.freshnewsasia.com/index.php/en/localnews/137021-2019-10-18-09-49-47.html
100,451531,cambodia,1230,76,http://kampucheathmey.com/2016/archives/1113675
